stratum,ncycle,SF,Placebo,totaal,p_sign,RR_freq_30,BF_above3,Cert30_under20,Cert30_above80,Cert50_under20,Cert50_above80
0,1,1,10,10,10,10,10,50,10,70,0
0,2,1,10,10,10,30,10,30,10,70,10
0,3,1,10,10,10,20,0,40,0,70,0
20,1,1,10,10,10,50,10,20,10,40,10
20,2,1,10,10,0,30,0,20,10,60,0
20,3,1,10,10,0,10,0,20,0,90,0
30,1,1,10,10,10,30,20,50,20,60,20
30,2,1,10,10,10,50,0,20,40,40,10
30,3,1,10,10,10,50,0,40,10,50,10
40,1,1,10,10,20,60,30,30,30,30,20
40,2,1,10,10,10,70,10,10,40,20,10
40,3,1,10,10,10,60,10,10,20,40,20
50,1,1,10,10,10,100,10,0,50,0,20
50,2,1,10,10,20,70,0,20,30,20,10
50,3,1,10,10,20,60,10,10,30,40,10
60,1,1,10,10,30,90,30,10,60,10,40
60,2,1,10,10,20,100,20,0,50,0,30
60,3,1,10,10,40,90,40,0,60,10,40
70,1,1,10,10,20,70,30,10,70,10,60
70,2,1,10,10,30,90,30,0,80,0,60
70,3,1,10,10,40,90,30,0,60,0,60
90,1,1,10,10,60,100,90,0,90,0,90
90,2,1,10,10,60,100,60,0,90,0,90
90,3,1,10,10,90,100,90,0,90,0,90
0,1,1,15,10,10,10,10,50,10,70,0
0,2,1,15,10,10,30,10,30,10,70,10
0,3,1,15,10,10,20,0,40,0,70,0
20,1,1,15,10,10,50,10,20,10,40,10
20,2,1,15,10,0,30,0,20,10,60,0
20,3,1,15,10,0,10,0,20,0,90,0
30,1,1,15,10,10,30,20,50,20,60,20
30,2,1,15,10,0,50,0,20,40,40,10
30,3,1,15,10,10,50,0,40,10,50,10
40,1,1,15,10,20,60,30,30,30,30,20
40,2,1,15,10,10,70,10,10,40,20,10
40,3,1,15,10,10,60,10,10,20,40,20
50,1,1,15,10,0,100,0,0,50,0,20
50,2,1,15,10,20,70,0,20,30,20,10
50,3,1,15,10,20,60,10,10,30,40,10
60,1,1,15,10,30,90,30,10,60,10,40
